X,Y,Z,bins,pu func,st_dt,end_dt
USOS0102 Curncy,,,,quick_plot,,
USOSFR1 Curncy,USOSFR2 Curncy,,,curve_plot,,
USOS0203 Curncy,,,,quick_plot,,
USOSFR2 Curncy,USOSFR3 Curncy,,,curve_plot,,
USOS0204 Curncy,,,,quick_plot,,
USOSFR2 Curncy,USOSFR4 Curncy,,,curve_plot,,
USOS0205 Curncy,,,,quick_plot,,
USOSFR2 Curncy,USOSFR5 Curncy,,,curve_plot,,
USOS0206 Curncy,,,,quick_plot,,
USOSFR2 Curncy,USOSFR6 Curncy,,,curve_plot,,
USOS0207 Curncy,,,,quick_plot,,
USOSFR2 Curncy,USOSFR7 Curncy,,,curve_plot,,
USOS0210 Curncy,,,,quick_plot,,
USOSFR2 Curncy,USOSFR10 Curncy,,,curve_plot,,
USOS0215 Curncy,,,,quick_plot,,
USOSFR2 Curncy,USOSFR15 Curncy,,,curve_plot,,
USOS0220 Curncy,,,,quick_plot,,
USOSFR2 Curncy,USOSFR20 Curncy,,,curve_plot,,
USOS0225 Curncy,,,,quick_plot,,
USOSFR2 Curncy,USOSFR25 Curncy,,,curve_plot,,
USOS0230 Curncy,,,,quick_plot,,
USOSFR2 Curncy,USOSFR30 Curncy,,,curve_plot,,
USOS0305 Curncy,,,,quick_plot,,
USOSFR3 Curncy,USOSFR5 Curncy,,,curve_plot,,
USOS0307 Curncy,,,,quick_plot,,
USOSFR3 Curncy,USOSFR7 Curncy,,,curve_plot,,
USOS0310 Curncy,,,,quick_plot,,
USOSFR3 Curncy,USOSFR10 Curncy,,,curve_plot,,
USOS0510 Curncy,,,,quick_plot,,
USOSFR5 Curncy,USOSFR10 Curncy,,,curve_plot,,
USOS0515 Curncy,,,,quick_plot,,
USOSFR5 Curncy,USOSFR15 Curncy,,,curve_plot,,
USOS1030 Curncy,,,,quick_plot,,
USOS0230 Curncy,,,,quick_plot,,
USOS0205 Curncy,,,,quick_plot,,
USSFCT02 Curncy,USSFCT05 Curncy,,,quick_plot,,
USSFCT05 Curncy,USSFCT07 Curncy,,,quick_plot,,
USSFCT05 Curncy,USSFCT10 Curncy,,,quick_plot,,
USSFCT10 Curncy,USSFCT20 Curncy,,,quick_plot,,
USSFCT10 Curncy,USSFCT30 Curncy,,,quick_plot,,
USSFCT20 Curncy,USSFCT30 Curncy,,,quick_plot,,
EUSS0210 Curncy,,,,quick_plot,20221020,20230315
USOS0210 Curncy,,,,quick_plot,,
EUSS0210 Curncy,USOS0210 Curncy,,,scatter,,
BPSO0210 Curncy,USOS0210 Curncy,,,scatter,,
JYSO2 Curncy,JYSO10 Curncy,,,curve_plot,,
